Name,Links,Cost,Cuisines,Timings,Open_Hours,Open_Days
Domino's Pizza,https://www.zomato.com/hyderabad/dominos-pizza-4-gachibowli,400,"['FastFood', 'Pizza']",11 AM to 11 PM,11 AM to 11 PM,
Mohammedia Shawarma,https://www.zomato.com/hyderabad/mohammedia-shawarma-gachibowli,150,"['StreetFood', 'Arabian']",1 PM to 1 AM,1 PM to 1 AM,
Arena Eleven,https://www.zomato.com/hyderabad/arena-eleven-gachibowli,1600,['Continental'],12 PM to 12 AM,12 PM to 12 AM,
Cascade - Radisson Hyderabad Hitec City,https://www.zomato.com/hyderabad/cascade-radisson-hyderabad-hitec-city-gachibowli,1800,"['NorthIndian', 'Italian', 'Continental', 'Asian']",24 Hours,24 Hours,
Collage - Hyatt Hyderabad Gachibowli,https://www.zomato.com/hyderabad/collage-hyatt-hyderabad-gachibowli-gachibowli,2800,"['Continental', 'Italian', 'NorthIndian', 'Chinese', 'Asian']",24 Hours (Mon-Sun),24 Hours,"Mon, Tue, Wed, Thu, Fri, Sat, Sun"
Zing's Northeast Kitchen,https://www.zomato.com/hyderabad/zings-northeast-kitchen-gachibowli,550,"['NorthEastern', 'Momos']","11:30 AM to 4 PM, 7 PM to 11 PM","11:30 AM to 4 PM, 7 PM to 11 PM",
Dunkin' Donuts,https://www.zomato.com/hyderabad/dunkin-donuts-gachibowli,550,"['Desserts', 'Cafe', 'Beverages', 'Burger', 'FastFood']",10 AM to 11 PM,10 AM to 11 PM,
Desi Bytes,https://www.zomato.com/hyderabad/desi-bytes-gachibowli,400,"['NorthIndian', 'Chinese']","1 PM to 2 AM (Mon, Wed-Sun), Tue Closed",1 PM to 2 AM,"Mon, Wed, Thu, Fri, Sat, Sun"
Hyderabadi Daawat,https://www.zomato.com/hyderabad/hyderabadi-daawat-1-gachibowli,600,"['Hyderabadi', 'Chinese', 'Mughlai']",12:30PM to 11:30PM (Mon-Sun),12:30PM to 11:30PM,"Mon, Tue, Wed, Thu, Fri, Sat, Sun"
Zega - Sheraton Hyderabad Hotel,https://www.zomato.com/hyderabad/zega-sheraton-hyderabad-hotel-gachibowli,1750,"['Asian', 'Sushi']",12PM to 2AM (Mon-Sun),12PM to 2AM,"Mon, Tue, Wed, Thu, Fri, Sat, Sun"
Triptify,https://www.zomato.com/hyderabad/triptify-gachibowli,400,['NorthIndian'],11 AM to 11 PM,11 AM to 11 PM,
Chinese Pavilion,https://www.zomato.com/hyderabad/chinese-pavilion-gachibowli,1000,"['Chinese', 'Seafood']","12 PM to 3:30 PM, 7 PM to 11 PM","12 PM to 3:30 PM, 7 PM to 11 PM",
IndiBlaze,https://www.zomato.com/hyderabad/indiblaze-gachibowli,600,"['FastFood', 'Salad']",11 AM to 11 PM,11 AM to 11 PM,
Sweet Basket,https://www.zomato.com/hyderabad/sweet-basket-gachibowli,200,"['Bakery', 'Mithai']","10 AM to 10 PM (Mon-Thu), 8 AM to 10:30 PM (Fri-Sun)",10 AM to 10 PM. 8 AM to 10:30 PM,"Mon, Tue, Wed, Thu. Fri, Sat, Sun"
Angaara Counts 3,https://www.zomato.com/hyderabad/angaara-counts-3-gachibowli,500,"['NorthIndian', 'Biryani', 'Chinese']",12 PM to 11 PM,12 PM to 11 PM,
Wich Please,https://www.zomato.com/hyderabad/wich-please-1-gachibowli,250,['FastFood'],8AM to 12:30AM (Mon-Sun),8AM to 12:30AM,"Mon, Tue, Wed, Thu, Fri, Sat, Sun"
Republic Of Noodles - Lemon Tree Hotel,https://www.zomato.com/hyderabad/republic-of-noodles-lemon-tree-hotel-gachibowli,1700,"['Thai', 'Asian', 'Chinese', 'Malaysian']","11:30 AM to 3 PM, 7 PM to 12 AM","11:30 AM to 3 PM, 7 PM to 12 AM",
